VERSION,x86_64-macos,x86_64-win32,x86_64-linux,arm64-macos
1.2.38,0,0,0,0
1.2.39,0,0,0,0
1.2.40,0,0,0,0
1.2.41,0,0,0,0
1.2.42,0,0,0,0
1.2.43,0,0,0,0
1.2.44,0,0,0,0
1.2.45,0,0,0,0
1.2.46,0,0,0,0
1.2.47,0,0,0,0
1.2.48,0,0,0,0
1.2.49,0,0,0,0
1.2.50,0,0,0,0
1.2.51,0,0,0,0
1.2.52,0,0,0,0
1.2.53,0,0,0,0
1.2.54,0,0,0,0
1.2.55,0,0,0,0
1.2.56,0,0,0,0
1.2.57,0,0,0,0
1.2.58,0,0,0,0
1.2.59,0,0,0,0
1.2.60,0,0,0,0
1.2.61,0,0,0,0
1.2.62,0,0,0,0
1.2.63,0,0,0,0
1.2.64,0,0,0,0
1.2.65,0,0,0,0
1.2.66,0,0,0,0
1.2.67,0,0,0,0
1.2.68,0,0,0,0
1.2.69,0,0,0,0
1.2.70,0,0,0,0
1.2.71,0,0,0,0
1.2.72,0,0,0,0
1.2.73,0,0,0,0
1.2.74,0,0,0,0
1.2.75,0,0,0,0
1.2.76,0,0,0,0
1.2.77,0,0,0,0
1.2.78,0,0,0,0
1.2.79,0,0,0,0
1.2.80,0,0,0,0
1.2.81,0,0,0,0
1.2.82,0,0,0,0
1.2.83,0,0,0,0
1.2.84,0,0,0,0
1.2.85,0,0,0,0
1.2.86,0,0,0,0
1.2.87,0,0,0,0
1.2.88,0,0,0,0
1.2.89,0,0,0,0
1.2.90,0,0,0,0
1.2.91,0,0,0,0
1.2.92,0,0,0,0
1.2.93,0,0,0,0
1.2.94,0,0,0,0
1.2.95,0,0,0,0
1.2.96,0,0,0,0
1.2.97,0,0,0,0
1.2.98,0,0,0,0
1.2.99,0,0,0,0
1.2.100,0,0,0,0
1.2.101,0,0,0,0
1.2.102,0,0,0,0
1.2.103,0,0,0,0
1.2.104,0,0,0,0
1.2.105,0,0,0,0
1.2.106,0,0,0,0
1.2.107,0,0,0,0
1.2.108,0,0,0,0
1.2.109,0,0,0,0
1.2.110,0,0,0,0
1.2.111,0,0,0,0
1.2.112,0,0,0,0
1.2.113,0,0,0,0
1.2.114,0,0,0,0
1.2.115,0,0,0,0
1.2.116,0,0,0,0
1.2.117,0,0,0,0
1.2.118,0,0,0,0
1.2.119,0,0,0,0
1.2.120,0,0,0,0
1.2.121,0,0,0,0
1.2.122,0,0,0,0
1.2.123,0,0,0,0
1.2.124,0,0,0,0
1.2.125,0,0,0,0
1.2.126,0,0,0,0
1.2.127,0,0,0,0
1.2.128,0,0,0,0
1.2.129,0,0,0,0
1.2.130,0,0,0,0
1.2.131,0,0,0,0
1.2.132,0,0,0,0
1.2.133,0,0,0,0
1.2.134,0,0,0,0
1.2.135,0,0,0,0
1.2.136,0,0,0,0
1.2.137,0,0,0,0
1.2.138,0,0,0,0
1.2.139,0,0,0,0
1.2.140,0,0,0,0
1.2.141,0,0,0,0
1.2.142,0,0,0,0
1.2.143,0,0,0,0
1.2.144,0,0,0,0
1.2.145,0,0,0,0
1.2.146,0,0,0,0
1.2.147,0,0,0,0
1.2.148,0,0,0,0
1.2.149,0,0,0,0
1.2.150,0,0,0,0
1.2.151,0,0,0,0
1.2.152,0,0,0,0
1.2.153,0,0,0,0
1.2.154,0,0,0,0
1.2.155,0,0,0,0
1.2.156,0,0,0,0
1.2.157,0,0,0,0
1.2.158,0,0,0,0
1.2.159,0,0,0,0
1.2.160,0,0,0,0
1.2.161,0,0,0,0
1.2.162,0,0,0,0
1.2.163,0,0,0,0
1.2.164,0,0,0,0
1.2.165,0,0,0,0
1.2.166,0,379211064,389782411,0
1.2.167,0,379233953,389806827,0
1.2.168,0,379247672,389820694,0
1.2.169,0,380250261,390854804,0
1.2.170,0,412104755,422618946,0
1.2.171,0,401842184,411750125,0
1.2.172,0,0,0,0
1.2.173,0,0,0,0
1.2.174,0,0,0,0
1.2.175,0,0,0,0
1.2.176,0,0,0,0
1.2.177,0,0,0,0
1.2.178,0,0,0,0
1.2.179,0,0,0,0
1.2.180,0,0,0,0
1.2.181,0,0,0,0
1.2.182,0,0,0,0
1.2.183,0,0,0,0
1.2.184,0,0,0,0
1.2.185,0,0,0,0
1.2.186,0,0,0,0
1.2.187,0,0,0,0
1.2.188,0,0,0,0
1.2.189,0,0,0,0
1.2.190,0,0,0,0
1.2.191,0,0,0,0
1.2.192,0,0,0,0
1.3.0,0,316587682,338349627,0
1.3.1,0,316938412,338701661,0
1.3.2,0,317929250,339693745,0
1.3.3,0,317929250,339693745,0
1.3.4,0,318865565,339246852,0
1.3.5,0,323399058,343681626,0
1.3.6,303920706,321976637,340424381,0
1.3.7,305512193,323659539,342069010,0
1.4.0,305704738,323415393,342046616,0
1.4.1,307442628,324990713,344815491,0
1.4.2,308844936,326502655,346331519,0
1.4.3,316487202,334328425,354158743,0
1.4.4,323940699,341762218,362593296,0
1.4.5,323505007,341407857,362239249,0
1.4.6,322872935,340695080,361990391,0
1.4.7,313592701,331450127,352746060,0
1.4.8,321992664,338251921,359643789,0
1.5.0,323375881,339339291,360742127,0
1.6.0,326986435,342744545,364207283,322581235
1.6.1,329405868,345323223,366736428,324936588
1.6.2,341084631,357483783,378523379,336171010
1.6.3,284665893,314023606,327550968,279489806
1.6.4,285094101,314690233,328378010,280206542
1.7.0,286264978,316252303,330627235,281533058
1.8.0,286516272,316722528,331062379,281639814
1.8.1,286856457,317066151,331522121,282217944
1.9.0,290008330,320997519,335119054,285241511
1.9.1,289404334,319961498,333862018,284642589
1.9.2,289316408,319791807,334100465,284519056
1.9.3,289622265,319994077,334255632,284708557
1.9.4,294665171,321761411,340243289,289312132
1.9.5,295075340,324640203,340518295,289633164
1.9.6,289570634,317850371,338526561,284317044
1.9.7,293365947,321755493,342283378,287955756
1.9.8,302517379,330869938,351385189,297200704
1.10.0,311274497,337796561,358415550,305636552
1.10.1,312700687,339344070,359475837,306903177
1.10.2,316313579,342956899,363072780,310436058
1.10.3,316291760,342991970,363212413,310706411
1.10.4,320350389,347038675,367398635,314697924
1.11.0,286014686,315139633,325208355,282740444
1.11.1,273229693,301547529,311445735,269977379
1.11.2,280496198,309438491,319427584,277256376
1.12.0,284746754,313786991,325967788,281154862
1.12.1,285661214,315449099,327806870,281983225
1.12.2-alpha,286230755,316176263,328449283,282723804
